time,entropy
0.000000000000000000e+00,7.546459761077949016e-30
1.002004008016032024e-02,2.747605604468387514e-09
2.004008016032064049e-02,1.447917786515035763e-07
3.006012024048096073e-02,1.438713568068511806e-06
4.008016032064128098e-02,7.226933410957125277e-06
5.010020040080159776e-02,2.497792736666613013e-05
6.012024048096192147e-02,6.812385219850353537e-05
7.014028056112224518e-02,1.577190326975295108e-04
8.016032064128256196e-02,3.237518130348196422e-04
9.018036072144287874e-02,6.059887259705400977e-04
1.002004008016031955e-01,1.054274248398934244e-03
1.102204408817635262e-01,1.728251999888523200e-03
1.202404809619238429e-01,2.696513144366593107e-03
1.302605210420841597e-01,4.035213544075672704e-03
1.402805611222444904e-01,5.826231423455515736e-03
1.503006012024047933e-01,8.154960696188895755e-03
1.603206412825651239e-01,1.110785087261917901e-02
1.703406813627254546e-01,1.476981229920983074e-02
1.803607214428857575e-01,1.922160564363975879e-02
1.903807615230460881e-01,2.453732780356360915e-02
2.004008016032063910e-01,3.078209397985648410e-02
2.104208416833667217e-01,3.800999899292151207e-02
2.204408817635270523e-01,4.626242163053732176e-02
2.304609218436873552e-01,5.556671546063155637e-02
2.404809619238476859e-01,6.593530951917704608e-02
2.505010020040079888e-01,7.736522373092255545e-02
2.605210420841683194e-01,8.983798766892125975e-02
2.705410821643286501e-01,1.033199378217607850e-01
2.805611222444889807e-01,1.177628581368012350e-01
2.905811623246493114e-01,1.331049212219314604e-01
3.006012024048095865e-01,1.492718830110049133e-01
3.106212424849699172e-01,1.661784816000899667e-01
3.206412825651302478e-01,1.837299909467186576e-01
3.306613226452905785e-01,2.018238817751461522e-01
3.406813627254509091e-01,2.203515449437211671e-01
3.507014028056111843e-01,2.392000363382519867e-01
3.607214428857715149e-01,2.582538067396201731e-01
3.707414829659318456e-01,2.773963848101080876e-01
3.807615230460921762e-01,2.965119861392983003e-01
3.907815631262525069e-01,3.154870260232763846e-01
4.008016032064127820e-01,3.342115181980314098e-01
4.108216432865731127e-01,3.525803460218407404e-01
4.208416833667334433e-01,3.704943965417254459e-01
4.308617234468937740e-01,3.878615514471998038e-01
4.408817635270541047e-01,4.045975320880011994e-01
4.509018036072144353e-01,4.206265985014883135e-01
4.609218436873747105e-01,4.358821047594342302e-01
4.709418837675350411e-01,4.503069149100268342e-01
4.809619238476953718e-01,4.638536853720963693e-01
4.909819639278557024e-01,4.764850208531568043e-01
5.010020040080159776e-01,4.881735117337842600e-01
5.110220440881763082e-01,4.989016614155420415e-01
5.210420841683366389e-01,5.086617123997384526e-01
5.310621242484969695e-01,5.174553798854557574e-01
5.410821643286573002e-01,5.252935014868707064e-01
5.511022044088176308e-01,5.321956113147922052e-01
5.611222444889779615e-01,5.381894461910609051e-01
5.711422845691382921e-01,5.433103912148190551e-01
5.811623246492986228e-01,5.476008713254503224e-01
5.911823647294588424e-01,5.511096949571104853e-01
6.012024048096191731e-01,5.538913554016671181e-01
6.112224448897795037e-01,5.560052951347946859e-01
6.212424849699398344e-01,5.575151381531741057e-01
6.312625250501001650e-01,5.584878953509321287e-01
6.412825651302604957e-01,5.589931481524198498e-01
6.513026052104208263e-01,5.591022160253046325e-01
6.613226452905811570e-01,5.588873141163297475e-01
6.713426853707414876e-01,5.584207080578433846e-01
6.813627254509018183e-01,5.577738739423987457e-01
6.913827655310621489e-01,5.570166724911399525e-01
7.014028056112223686e-01,5.562165474657181363e-01
7.114228456913826992e-01,5.554377592932400187e-01
7.214428857715430299e-01,5.547406655788212904e-01
7.314629258517033605e-01,5.541810605578679771e-01
7.414829659318636912e-01,5.538095854856797118e-01
7.515030060120240218e-01,5.536712213908056013e-01
7.615230460921843525e-01,5.538048744783674593e-01
7.715430861723446831e-01,5.542430627502723528e-01
7.815631262525050138e-01,5.550117101499487671e-01
7.915831663326653445e-01,5.561300518298956108e-01
8.016032064128255641e-01,5.576106511170584312e-01
8.116232464929858947e-01,5.594595255855987492e-01
8.216432865731462254e-01,5.616763765304652045e-01
8.316633266533065560e-01,5.642549132606531348e-01
8.416833667334668867e-01,5.671832611719552775e-01
8.517034068136272174e-01,5.704444406537049206e-01
8.617234468937875480e-01,5.740169026230658167e-01
8.717434869739478787e-01,5.778751059004600954e-01
8.817635270541082093e-01,5.819901217239723534e-01
8.917835671342685400e-01,5.863302513849359965e-01
9.018036072144288706e-01,5.908616441506502337e-01
9.118236472945890903e-01,5.955489041986896659e-01
9.218436873747494209e-01,6.003556770853922808e-01
9.318637274549097516e-01,6.052452081751642510e-01
9.418837675350700822e-01,6.101808673446897924e-01
