time,entropy
0.000000000000000000e+00,0.000000000000000000e+00
1.002004008016032024e-02,2.748120081535619616e-09
2.004008016032064049e-02,1.448993729837849927e-07
3.006012024048096073e-02,1.441099689228876022e-06
4.008016032064128098e-02,7.248080474129733480e-06
5.010020040080159776e-02,2.509127908417278175e-05
6.012024048096192147e-02,6.856569192014030185e-05
7.014028056112224518e-02,1.591006971531574597e-04
8.016032064128256196e-02,3.274269189051373305e-04
9.018036072144287874e-02,6.146235832657679461e-04
1.002004008016031955e-01,1.072662565245070419e-03
1.102204408817635262e-01,1.764401670362402601e-03
1.202404809619238429e-01,2.763014396462078279e-03
1.302605210420841597e-01,4.150875622224037970e-03
1.402805611222444904e-01,6.017951278413941757e-03
1.503006012024047933e-01,8.459763992799308394e-03
1.603206412825651239e-01,1.157502505837826844e-02
1.703406813627254546e-01,1.546303526600251860e-02
1.803607214428857575e-01,2.022096296755635653e-02
1.903807615230460881e-01,2.594110741591189664e-02
2.004008016032063910e-01,3.270824958007000072e-02
2.104208416833667217e-01,4.059718219922929527e-02
2.204408817635270523e-01,4.967049697728399826e-02
2.304609218436873552e-01,5.997669078473046034e-02
2.404809619238476859e-01,7.154863575958370081e-02
2.505010020040079888e-01,8.440244138781198557e-02
2.605210420841683194e-01,9.853672090252017790e-02
2.705410821643286501e-01,1.139322603348304486e-01
2.805611222444889807e-01,1.305520766948439770e-01
2.905811623246493114e-01,1.483418422444962026e-01
3.006012024048095865e-01,1.672306446377277156e-01
3.106212424849699172e-01,1.871320476919363096e-01
3.206412825651302478e-01,2.079454144637125357e-01
3.306613226452905785e-01,2.295574528227851685e-01
3.406813627254509091e-01,2.518439435253121417e-01
3.507014028056111843e-01,2.746716115671651304e-01
3.607214428857715149e-01,2.979001030658519067e-01
3.707414829659318456e-01,3.213840318339320490e-01
3.807615230460921762e-01,3.449750619701891230e-01
3.907815631262525069e-01,3.685239950553560462e-01
4.008016032064127820e-01,3.918828327857321048e-01
4.108216432865731127e-01,4.149067880349399662e-01
4.208416833667334433e-01,4.374562193551742029e-01
4.308617234468937740e-01,4.593984657917141723e-01
4.408817635270541047e-01,4.806095605838263118e-01
4.509018036072144353e-01,5.009758038708994610e-01
4.609218436873747105e-01,5.203951759353749873e-01
4.709418837675350411e-01,5.387785738232503396e-01
4.809619238476953718e-01,5.560508554263452474e-01
4.909819639278557024e-01,5.721516763338136968e-01
5.010020040080159776e-01,5.870361060179726254e-01
5.110220440881763082e-01,6.006750112755534499e-01
5.210420841683366389e-01,6.130551963749452105e-01
5.310621242484969695e-01,6.241792911495698259e-01
5.410821643286573002e-01,6.340653804251230596e-01
5.511022044088176308e-01,6.427463707815943561e-01
5.611222444889779615e-01,6.502690938423125733e-01
5.711422845691382921e-01,6.566931491617724603e-01
5.811623246492986228e-01,6.620894944472377475e-01
5.911823647294588424e-01,6.665387963607098953e-01
6.012024048096191731e-01,6.701295615206305234e-01
6.112224448897795037e-01,6.729560744933740235e-01
6.212424849699398344e-01,6.751161773688165724e-01
6.312625250501001650e-01,6.767089336646741060e-01
6.412825651302604957e-01,6.778322273775452267e-01
6.513026052104208263e-01,6.785803554377938251e-01
6.613226452905811570e-01,6.790416779641033074e-01
6.713426853707414876e-01,6.792963948258377016e-01
6.813627254509018183e-01,6.794145183978237412e-01
6.913827655310621489e-01,6.794541104360478645e-01
7.014028056112223686e-01,6.794598453332794108e-01
7.114228456913826992e-01,6.794619525584941755e-01
7.214428857715430299e-01,6.794755781399250960e-01
7.314629258517033605e-01,6.795005892950711779e-01
7.414829659318636912e-01,6.795218287493816067e-01
7.515030060120240218e-01,6.795098071507243986e-01
7.615230460921843525e-01,6.794218045888951174e-01
7.715430861723446831e-01,6.792033367935658150e-01
7.815631262525050138e-01,6.787899291038193006e-01
7.915831663326653445e-01,6.781091324341106397e-01
8.016032064128255641e-01,6.770827104762445758e-01
8.116232464929858947e-01,6.756289261727036477e-01
8.216432865731462254e-01,6.736648576611576900e-01
8.316633266533065560e-01,6.711086787954569921e-01
8.416833667334668867e-01,6.678818462578306470e-01
8.517034068136272174e-01,6.639111434421420821e-01
8.617234468937875480e-01,6.591305400270628390e-01
8.717434869739478787e-01,6.534828349060941566e-01
8.817635270541082093e-01,6.469210584745037629e-01
8.917835671342685400e-01,6.394096179099377775e-01
9.018036072144288706e-01,6.309251758702664192e-01
9.118236472945890903e-01,6.214572589205953346e-01
9.218436873747494209e-01,6.110085970210505923e-01
9.318637274549097516e-01,5.995951996404471629e-01
9.418837675350700822e-01,5.872461776213889761e-01
9.519038076152304129e-01,5.740033229359480238e-01
9.619238476953907435e-01,5.599204610642668500e-01
9.719438877755510742e-01,5.450625930189796353e-01
9.819639278557114048e-01,5.295048461295789322e-01
9.919839679358717355e-01,5.133312546783861396e-01
1.002004008016031955e+00,4.966333934087300284e-01
1.012024048096192397e+00,4.795088888496684687e-01
1.022044088176352616e+00,4.620598353392572077e-01
1.032064128256513058e+00,4.443911445728313536e-01
