N,S_max,eta_max,time_average,fraction_above_threshold,first_peak_time,first_peak_entropy,first_recurrence_time
2.000000000000000000e+00,6.795218287493816067e-01,9.803427725125323233e-01,3.460618390181839921e-01,3.066132264529058959e-01,7.414829659318636912e-01,6.795218287493816067e-01,nan
3.000000000000000000e+00,6.907853562621211196e-01,9.965926077980780118e-01,4.371309358991362082e-01,4.559118236472947672e-01,1.012024048096192397e+00,6.907853562621211196e-01,nan
4.000000000000000000e+00,6.850163925568293344e-01,9.882697524693850877e-01,4.644517230191682056e-01,5.270541082164329483e-01,6.513026052104208263e-01,5.591022160253046325e-01,nan
5.000000000000000000e+00,6.870094274089413311e-01,9.911450939668460247e-01,4.859157626370874672e-01,6.683366733466934440e-01,6.412825651302604957e-01,5.574929257877230260e-01,nan
6.000000000000000000e+00,6.854049510850526161e-01,9.888303239311480031e-01,4.843249545411326684e-01,6.022044088176352616e-01,6.412825651302604957e-01,5.574771677511843881e-01,nan
