time,entropy
0.000000000000000000e+00,4.440892098502263048e-16
1.002004008016032024e-02,2.747605941094593107e-09
2.004008016032064049e-02,1.447917788889265938e-07
3.006012024048096073e-02,1.438713568290556411e-06
4.008016032064128098e-02,7.226933411571147931e-06
5.010020040080159776e-02,2.497792736677241921e-05
6.012024048096192147e-02,6.812385219830973423e-05
7.014028056112224518e-02,1.577190326980091890e-04
8.016032064128256196e-02,3.237518130342935873e-04
9.018036072144287874e-02,6.059887259669254761e-04
1.002004008016031955e-01,1.054274248381105190e-03
1.102204408817635262e-01,1.728251999811279433e-03
1.202404809619238429e-01,2.696513144081852994e-03
1.302605210420841597e-01,4.035213543130851226e-03
1.402805611222444904e-01,5.826231420603858457e-03
1.503006012024047933e-01,8.154960688265402297e-03
1.603206412825651239e-01,1.110785085212461637e-02
1.703406813627254546e-01,1.476981224944103749e-02
1.803607214428857575e-01,1.922160552936865927e-02
1.903807615230460881e-01,2.453732755400184901e-02
2.004008016032063910e-01,3.078209345880699582e-02
2.104208416833667217e-01,3.800999794839068219e-02
2.204408817635270523e-01,4.626241961251401080e-02
2.304609218436873552e-01,5.556671169091483009e-02
2.404809619238476859e-01,6.593530269099664998e-02
2.505010020040079888e-01,7.736521170813935588e-02
2.605210420841683194e-01,8.983796704485647044e-02
2.705410821643286501e-01,1.033199032857014948e-01
2.805611222444889807e-01,1.177628015819266877e-01
2.905811623246493114e-01,1.331048305114248542e-01
3.006012024048095865e-01,1.492717402993316844e-01
3.106212424849699172e-01,1.661782610836134988e-01
3.206412825651302478e-01,1.837296558917189682e-01
3.306613226452905785e-01,2.018233806416888654e-01
3.406813627254509091e-01,2.203508063904195124e-01
3.507014028056111843e-01,2.391989628554271885e-01
3.607214428857715149e-01,2.582522666162170855e-01
3.707414829659318456e-01,2.773942020925532770e-01
3.807615230460921762e-01,2.965089281876098770e-01
3.907815631262525069e-01,3.154827882104342396e-01
4.008016032064127820e-01,3.342057052321401600e-01
4.108216432865731127e-01,3.525724492960280454e-01
4.208416833667334433e-01,3.704837668332731093e-01
4.308617234468937740e-01,3.878473661942415940e-01
4.408817635270541047e-01,4.045787563688493238e-01
4.509018036072144353e-01,4.206019387280817146e-01
4.609218436873747105e-01,4.358499539731069961e-01
4.709418837675350411e-01,4.502652884361348917e-01
4.809619238476953718e-01,4.638001454525955136e-01
4.909819639278557024e-01,4.764165887370211405e-01
5.010020040080159776e-01,4.880865655700351025e-01
5.110220440881763082e-01,4.987918181706115783e-01
5.210420841683366389e-01,5.085236919203094397e-01
5.310621242484969695e-01,5.172828491627686764e-01
5.410821643286573002e-01,5.250788971644889669e-01
5.511022044088176308e-01,5.319299385371927258e-01
5.611222444889779615e-01,5.378620520357360046e-01
5.711422845691382921e-01,5.429087112079333810e-01
5.811623246492986228e-01,5.471101479333028150e-01
5.911823647294588424e-01,5.505126674947244947e-01
6.012024048096191731e-01,5.531679215252148785e-01
6.112224448897795037e-01,5.551321450009597536e-01
6.212424849699398344e-01,5.564653634432576990e-01
6.312625250501001650e-01,5.572305766677080330e-01
6.412825651302604957e-01,5.574929257877230260e-01
6.513026052104208263e-01,5.573188507349620124e-01
6.613226452905811570e-01,5.567752462781403455e-01
6.713426853707414876e-01,5.559286253618986873e-01
6.813627254509018183e-01,5.548442994884345003e-01
6.913827655310621489e-01,5.535855867483991943e-01
7.014028056112223686e-01,5.522130588819224029e-01
7.114228456913826992e-01,5.507838393144045552e-01
7.214428857715430299e-01,5.493509643621627969e-01
7.314629258517033605e-01,5.479628196449317645e-01
7.414829659318636912e-01,5.466626630982178714e-01
7.515030060120240218e-01,5.454882447991319383e-01
7.615230460921843525e-01,5.444715320919415458e-01
7.715430861723446831e-01,5.436385462543960045e-01
7.815631262525050138e-01,5.430093142576418730e-01
7.915831663326653445e-01,5.425979361577015769e-01
8.016032064128255641e-01,5.424127654647037389e-01
8.116232464929858947e-01,5.424566966378242538e-01
8.216432865731462254e-01,5.427275508248954328e-01
8.316633266533065560e-01,5.432185482703538737e-01
8.416833667334668867e-01,5.439188535918517697e-01
8.517034068136272174e-01,5.448141784746857175e-01
8.617234468937875480e-01,5.458874253095942208e-01
8.717434869739478787e-01,5.471193549123836153e-01
8.817635270541082093e-01,5.484892616794039277e-01
8.917835671342685400e-01,5.499756402821561752e-01
9.018036072144288706e-01,5.515568291935215584e-01
9.118236472945890903e-01,5.532116178601783618e-01
9.218436873747494209e-01,5.549198060810007771e-01
9.318637274549097516e-01,5.566627060167397278e-01
9.418837675350700822e-01,5.584235791526804826e-01
9.519038076152304129e-01,5.601880023919241225e-01
9.619238476953907435e-01,5.619441592207755631e-01
9.719438877755510742e-01,5.636830535273505971e-01
9.819639278557114048e-01,5.653986451553794090e-01
9.919839679358717355e-01,5.670879076373565031e-01
1.002004008016031955e+00,5.687508097856937006e-01
1.012024048096192397e+00,5.703902239455087564e-01
1.022044088176352616e+00,5.720117647495259749e-01
1.032064128256513058e+00,5.736235631854533779e-01
1.042084168336673278e+00,5.752359817068222192e-01
1.052104208416833719e+00,5.768612770013816782e-01
1.062124248496993939e+00,5.785132178803686909e-01
1.072144288577154159e+00,5.802066665617128249e-01
1.082164328657314600e+00,5.819571323750414304e-01
1.092184368737474820e+00,5.837803075914372863e-01
1.102204408817635262e+00,5.856915956434194381e-01
1.112224448897795481e+00,5.877056424119813105e-01
1.122244488977955923e+00,5.898358814765277680e-01
1.132264529058116143e+00,5.920941042100996698e-01
1.142284569138276584e+00,5.944900653215891007e-01
1.152304609218436804e+00,5.970311338733143014e-01
1.162324649298597246e+00,5.997219989239259696e-01
1.172344689378757465e+00,6.025644377665112517e-01
1.182364729458917685e+00,6.055571532704078219e-01
1.192384769539078126e+00,6.086956851300783233e-01
1.202404809619238346e+00,6.119723979281441739e-01
1.212424849699398788e+00,6.153765468969663033e-01
1.222444889779559007e+00,6.188944201862645045e-01
1.232464929859719449e+00,6.225095543880014848e-01
1.242484969939879669e+00,6.262030181064537349e-01
1.252505010020040110e+00,6.299537565562227659e-01
1.262525050100200330e+00,6.337389885784316945e-01
1.272545090180360772e+00,6.375346461270081644e-01
1.282565130260520991e+00,6.413158452203338022e-01
1.292585170340681211e+00,6.450573765929605852e-01
1.302605210420841653e+00,6.487342038199259697e-01
1.312625250501001872e+00,6.523219565157134525e-01
1.322645290581162314e+00,6.557974063177336443e-01
1.332665330661322534e+00,6.591389137335368353e-01
1.342685370741482975e+00,6.623268345440125326e-01
1.352705410821643195e+00,6.653438752947771206e-01
1.362725450901803637e+00,6.681753884604757499e-01
1.372745490981963856e+00,6.708095991202136510e-01
1.382765531062124298e+00,6.732377564277294280e-01
1.392785571142284518e+00,6.754542047894761536e-01
1.402805611222444737e+00,6.774563714692571903e-01
1.412825651302605179e+00,6.792446693084055465e-01
1.422845691382765398e+00,6.808223153692007923e-01
1.432865731462925840e+00,6.821950685514401869e-01
1.442885771543086060e+00,6.833708915622486169e-01
1.452905811623246501e+00,6.843595449887279747e-01
1.462925851703406721e+00,6.851721235693414291e-01
1.472945891783567163e+00,6.858205470061233822e-01
1.482965931863727382e+00,6.863170197165360253e-01
1.492985971943887824e+00,6.866734756921262228e-01
1.503006012024048044e+00,6.869010260077561547e-01
1.513026052104208263e+00,6.870094274089413311e-01
1.523046092184368705e+00,6.870065907046108977e-01
1.533066132264528925e+00,6.868981473358498624e-01
1.543086172344689366e+00,6.866870914320486463e-01
1.553106212424849586e+00,6.863735128922674456e-01
1.563126252505010028e+00,6.859544345678409982e-01
1.573146292585170247e+00,6.854237635388069627e-01
1.583166332665330689e+00,6.847723628764139647e-01
1.593186372745490909e+00,6.839882463044035799e-01
1.603206412825651128e+00,6.830568939747987400e-01
1.613226452905811570e+00,6.819616833346968665e-01
1.623246492985971789e+00,6.806844249553738457e-01
1.633266533066132231e+00,6.792059893896857936e-01
1.643286573146292451e+00,6.775070077632854293e-01
1.653306613226452892e+00,6.755686260062390147e-01
1.663326653306613112e+00,6.733732904781423168e-01
1.673346693386773554e+00,6.709055412819544539e-01
1.683366733466933773e+00,6.681527888181975072e-01
1.693386773547094215e+00,6.651060490937168446e-01
1.703406813627254435e+00,6.617606139391929432e-01
1.713426853707414654e+00,6.581166335649377697e-01
1.723446893787575096e+00,6.541795907464642568e-01
1.733466933867735316e+00,6.499606483303379534e-01
1.743486973947895757e+00,6.454768546408122809e-01
1.753507014028055977e+00,6.407511947079753689e-01
1.763527054108216419e+00,6.358124789931353105e-01
1.773547094188376638e+00,6.306950654237561960e-01
1.783567134268537080e+00,6.254384150324205915e-01
1.793587174348697300e+00,6.200864862756119145e-01
1.803607214428857741e+00,6.146869781227053409e-01
1.813627254509017961e+00,6.092904371580405432e-01
1.823647294589178181e+00,6.039492490950285619e-01
1.833667334669338622e+00,5.987165400805689597e-01
1.843687374749498842e+00,5.936450177415709684e-01
1.853707414829659283e+00,5.887857858196069438e-01
1.863727454909819503e+00,5.841871691499982422e-01
1.873747494989979945e+00,5.798935873553765497e-01
1.883767535070140164e+00,5.759445156536718846e-01
1.893787575150300606e+00,5.723735694044873590e-01
1.903807615230460826e+00,5.692077453214028360e-01
1.913827655310621267e+00,5.664668466906053190e-01
1.923847695390781487e+00,5.641631126563214638e-01
1.933867735470941707e+00,5.623010630302369695e-01
1.943887775551102148e+00,5.608775606752932630e-01
1.953907815631262368e+00,5.598820839287288464e-01
1.963927855711422810e+00,5.592971924302261311e-01
1.973947895791583029e+00,5.590991617409630798e-01
1.983967935871743471e+00,5.592587558074437748e-01
1.993987975951903691e+00,5.597421020109241141e-01
2.004008016032063910e+00,5.605116314294056323e-01
2.014028056112224352e+00,5.615270470094769761e-01
2.024048096192384794e+00,5.627462844095336703e-01
2.034068136272544791e+00,5.641264340074909622e-01
2.044088176352705233e+00,5.656245975512396162e-01
2.054108216432865675e+00,5.671986587182413775e-01
2.064128256513026116e+00,5.688079529990722749e-01
2.074148296593186114e+00,5.704138284279299809e-01
2.084168336673346555e+00,5.719800944149959765e-01
2.094188376753506997e+00,5.734733610304287854e-01
2.104208416833667439e+00,5.748632753640842141e-01
2.114228456913827436e+00,5.761226649277104706e-01
2.124248496993987878e+00,5.772276004304048858e-01
2.134268537074148320e+00,5.781573916509036293e-01
2.144288577154308317e+00,5.788945306037160954e-01
2.154308617234468759e+00,5.794245958375126015e-01
2.164328657314629201e+00,5.797361306283521643e-01
2.174348697394789642e+00,5.798205061723140652e-01
2.184368737474949640e+00,5.796717787907381680e-01
2.194388777555110082e+00,5.792865477929403095e-01
2.204408817635270523e+00,5.786638181537626657e-01
2.214428857715430965e+00,5.778048697099051889e-01
2.224448897795590963e+00,5.767131323022880451e-01
2.234468937875751404e+00,5.753940643182972048e-01
2.244488977955911846e+00,5.738550305229402904e-01
2.254509018036071843e+00,5.721051739916271917e-01
2.264529058116232285e+00,5.701552764207524771e-01
2.274549098196392727e+00,5.680176011163943217e-01
2.284569138276553169e+00,5.657057135359350175e-01
2.294589178356713166e+00,5.632342753418159154e-01
2.304609218436873608e+00,5.606188094521213916e-01
2.314629258517034049e+00,5.578754354456596509e-01
2.324649298597194491e+00,5.550205767855231898e-01
2.334669338677354489e+00,5.520706435356453889e-01
2.344689378757514930e+00,5.490416964220030671e-01
2.354709418837675372e+00,5.459491000945734251e-01
2.364729458917835370e+00,5.428071751451974958e-01
2.374749498997995811e+00,5.396288597113491070e-01
2.384769539078156253e+00,5.364253922498990468e-01
2.394789579158316695e+00,5.332060272306244908e-01
2.404809619238476692e+00,5.299777950437656315e-01
2.414829659318637134e+00,5.267453163449354880e-01
2.424849699398797576e+00,5.235106794195301116e-01
2.434869739478958017e+00,5.202733870202334021e-01
2.444889779559118015e+00,5.170303766307724480e-01
2.454909819639278457e+00,5.137761153765584288e-01
2.464929859719438898e+00,5.105027679924925010e-01
2.474949899799598896e+00,5.072004335265187791e-01
2.484969939879759337e+00,5.038574439519792891e-01
2.494989979959919779e+00,5.004607157096438996e-01
2.505010020040080221e+00,4.969961435000584959e-01
2.515030060120240218e+00,4.934490244626813515e-01
2.525050100200400660e+00,4.898045002375970292e-01
2.535070140280561102e+00,4.860480043000333650e-01
2.545090180360721543e+00,4.821657023474541504e-01
2.555110220440881541e+00,4.781449143380686606e-01
2.565130260521041983e+00,4.739745079447455489e-01
2.575150300601202424e+00,4.696452546062304112e-01
2.585170340681362422e+00,4.651501409329911185e-01
2.595190380761522864e+00,4.604846298673633820e-01
2.605210420841683305e+00,4.556468676266681173e-01
2.615230460921843747e+00,4.506378340073757260e-01
2.625250501002003745e+00,4.454614350483196983e-01
2.635270541082164186e+00,4.401245383085057306e-01
2.645290581162324628e+00,4.346369520939704634e-01
2.655310621242485070e+00,4.290113508668371156e-01
2.665330661322645067e+00,4.232631497994226999e-01
2.675350701402805509e+00,4.174103320174101794e-01
2.685370741482965951e+00,4.114732325358754217e-01
2.695390781563125948e+00,4.054742832601891944e-01
2.705410821643286390e+00,3.994377237302616512e-01
2.715430861723446831e+00,3.933892825574796803e-01
2.725450901803607273e+00,3.873558347593610285e-01
2.735470941883767271e+00,3.813650404491975565e-01
2.745490981963927712e+00,3.754449705891104161e-01
2.755511022044088154e+00,3.696237257564030099e-01
2.765531062124248596e+00,3.639290540860761758e-01
2.775551102204408593e+00,3.583879747088414836e-01
2.785571142284569035e+00,3.530264130688319235e-01
2.795591182364729477e+00,3.478688544400834748e-01
2.805611222444889474e+00,3.429380217277430143e-01
2.815631262525049916e+00,3.382545832070945613e-01
2.825651302605210358e+00,3.338368951995574485e-01
2.835671342685370799e+00,3.297007838051415618e-01
2.845691382765530797e+00,3.258593687200803113e-01
2.855711422845691239e+00,3.223229309040908097e-01
2.865731462925851680e+00,3.190988244832144716e-01
2.875751503006012122e+00,3.161914318608433638e-01
2.885771543086172120e+00,3.136021596543350776e-01
2.895791583166332561e+00,3.113294718769656355e-01
2.905811623246493003e+00,3.093689558403118767e-01
2.915831663326653000e+00,3.077134156423014244e-01
2.925851703406813442e+00,3.063529878891274594e-01
2.935871743486973884e+00,3.052752745022255243e-01
2.945891783567134325e+00,3.044654880758423943e-01
2.955911823647294323e+00,3.039066062318447337e-01
2.965931863727454765e+00,3.035795326880152967e-01
2.975951903807615206e+00,3.034632642097074839e-01
2.985971943887775648e+00,3.035350641301872154e-01
2.995991983967935646e+00,3.037706445734724703e-01
3.006012024048096087e+00,3.041443607706385555e-01
3.016032064128256529e+00,3.046294218163966838e-01
3.026052104208416527e+00,3.051981227803314267e-01
3.036072144288576968e+00,3.058221032082498736e-01
3.046092184368737410e+00,3.064726366973794525e-01
3.056112224448897852e+00,3.071209554101827499e-01
3.066132264529057849e+00,3.077386121407904573e-01
3.076152304609218291e+00,3.082978809256884389e-01
3.086172344689378733e+00,3.087721952755767552e-01
3.096192384769539174e+00,3.091366209896146966e-01
3.106212424849699172e+00,3.093683582925479958e-01
3.116232464929859614e+00,3.094472658043910251e-01
3.126252505010020055e+00,3.093563966988562286e-01
3.136272545090180053e+00,3.090825354075891762e-01
3.146292585170340494e+00,3.086167214463124142e-01
3.156312625250500936e+00,3.079547454270065709e-01
3.166332665330661378e+00,3.070976011168459197e-01
3.176352705410821375e+00,3.060518765416664899e-01
3.186372745490981817e+00,3.048300666389149871e-01
3.196392785571142259e+00,3.034507898763427747e-01
3.206412825651302256e+00,3.019388916135569145e-01
3.216432865731462698e+00,3.003254178583809053e-01
3.226452905811623140e+00,2.986474445469157746e-01
3.236472945891783581e+00,2.969477496702029318e-01
3.246492985971943579e+00,2.952743186181609469e-01
3.256513026052104021e+00,2.936796771596075772e-01
3.266533066132264462e+00,2.922200516568054796e-01
3.276553106212424904e+00,2.909543625020727386e-01
3.286573146292584902e+00,2.899430643365261684e-01
3.296593186372745343e+00,2.892468551792070630e-01
3.306613226452905785e+00,2.889252857557224052e-01
3.316633266533065783e+00,2.890353094191948080e-01
3.326653306613226224e+00,2.896298212173853415e-01
3.336673346693386666e+00,2.907562408296317513e-01
3.346693386773547108e+00,2.924551972053855420e-01
3.356713426853707105e+00,2.947593718863179557e-01
3.366733466933867547e+00,2.976925526789111487e-01
3.376753507014027988e+00,3.012689396205706083e-01
3.386773547094188430e+00,3.054927317476818782e-01
3.396793587174348428e+00,3.103580073079049151e-01
3.406813627254508869e+00,3.158488934240805124e-01
3.416833667334669311e+00,3.219400055686802431e-01
3.426853707414829309e+00,3.285971240854590469e-01
3.436873747494989750e+00,3.357780654778326768e-01
3.446893787575150192e+00,3.434337007636878436e-01
3.456913827655310634e+00,3.515090717873498027e-01
3.466933867735470631e+00,3.599445584333637038e-01
3.476953907815631073e+00,3.686770543723403293e-01
3.486973947895791515e+00,3.776411153555967459e-01
3.496993987975951956e+00,3.867700512852719763e-01
3.507014028056111954e+00,3.959969405923229879e-01
3.517034068136272396e+00,4.052555523239919077e-01
3.527054108216432837e+00,4.144811674359407672e-01
3.537074148296592835e+00,4.236112959304311198e-01
3.547094188376753277e+00,4.325862906349661197e-01
3.557114228456913718e+00,4.413498616153807008e-01
3.567134268537074160e+00,4.498494975531751039e-01
3.577154308617234157e+00,4.580368020011211794e-01
3.587174348697394599e+00,4.658677533811804716e-01
3.597194388777555041e+00,4.733028980150922882e-01
3.607214428857715482e+00,4.803074854797009241e-01
3.617234468937875480e+00,4.868515552418992698e-01
3.627254509018035922e+00,4.929099829245005004e-01
3.637274549098196363e+00,4.984624937461353822e-01
3.647294589178356361e+00,5.034936497173595482e-01
3.657314629258516803e+00,5.079928161067016612e-01
3.667334669338677244e+00,5.119541115534084197e-01
3.677354709418837686e+00,5.153763450332373708e-01
3.687374749498997684e+00,5.182629417111748182e-01
3.697394789579158125e+00,5.206218585693920264e-01
3.707414829659318567e+00,5.224654896065986653e-01
3.717434869739479009e+00,5.238105593912028013e-01
3.727454909819639006e+00,5.246780028385981121e-01
3.737474949899799448e+00,5.250928282947677772e-01
3.747494989979959890e+00,5.250839603656471954e-01
3.757515030060119887e+00,5.246840584551474285e-01
3.767535070140280329e+00,5.239293066852275249e-01
3.777555110220440771e+00,5.228591707892253915e-01
3.787575150300601212e+00,5.215161177152103367e-01
3.797595190380761210e+00,5.199452940684785585e-01
3.807615230460921651e+00,5.181941601788390139e-01
3.817635270541082093e+00,5.163120775122662653e-01
3.827655310621242535e+00,5.143498483645697616e-01
