time,entropy
0.000000000000000000e+00,2.974365603866773121e-30
1.002004008016032024e-02,2.747605265469316727e-09
2.004008016032064049e-02,1.447917779930589678e-07
3.006012024048096073e-02,1.438713569171960684e-06
4.008016032064128098e-02,7.226933446509376592e-06
5.010020040080159776e-02,2.497792783581365437e-05
6.012024048096192147e-02,6.812385599873844240e-05
7.014028056112224518e-02,1.577190547532060505e-04
8.016032064128256196e-02,3.237519133110511337e-04
9.018036072144287874e-02,6.059891042128553876e-04
1.002004008016031955e-01,1.054275479222435523e-03
1.102204408817635262e-01,1.728255552750459492e-03
1.202404809619238429e-01,2.696522430919424517e-03
1.302605210420841597e-01,4.035235870260537108e-03
1.402805611222444904e-01,5.826281397101386490e-03
1.503006012024047933e-01,8.155065850557474683e-03
1.603206412825651239e-01,1.110806050561143586e-02
1.703406813627254546e-01,1.477021078594837125e-02
1.803607214428857575e-01,1.922233174246180260e-02
1.903807615230460881e-01,2.453860172535877668e-02
2.004008016032063910e-01,3.078425421064592132e-02
2.104208416833667217e-01,3.801355103253557799e-02
2.204408817635270523e-01,4.626810092148078701e-02
2.304609218436873552e-01,5.557556681904984863e-02
2.404809619238476859e-01,6.594878533690898270e-02
2.505010020040079888e-01,7.738530309085059344e-02
2.605210420841683194e-01,8.986731830719599246e-02
2.705410821643286501e-01,1.033620025859146030e-01
2.805611222444889807e-01,1.178221672385876689e-01
2.905811623246493114e-01,1.331872311809858822e-01
3.006012024048095865e-01,1.493844427458179691e-01
3.106212424849699172e-01,1.663303056630166255e-01
3.206412825651302478e-01,1.839321594365326273e-01
3.306613226452905785e-01,2.020898660096850097e-01
3.406813627254509091e-01,2.206975575492590158e-01
3.507014028056111843e-01,2.396454040205450442e-01
3.607214428857715149e-01,2.588213636476915935e-01
3.707414829659318456e-01,2.781128840851140316e-01
3.807615230460921762e-01,2.974085269469042281e-01
3.907815631262525069e-01,3.165994930802649154e-01
4.008016032064127820e-01,3.355810304954621737e-01
4.108216432865731127e-01,3.542537110825425550e-01
4.208416833667334433e-01,3.725245660868120590e-01
4.308617234468937740e-01,3.903080737365209885e-01
4.408817635270541047e-01,4.075269953921399901e-01
4.509018036072144353e-01,4.241130591079202983e-01
4.609218436873747105e-01,4.400074915679342835e-01
4.709418837675350411e-01,4.551614009983081521e-01
4.809619238476953718e-01,4.695360148949634382e-01
4.909819639278557024e-01,4.831027772840392753e-01
5.010020040080159776e-01,4.958433108041687687e-01
5.110220440881763082e-01,5.077492492312284389e-01
5.210420841683366389e-01,5.188219462325546205e-01
5.310621242484969695e-01,5.290720662231037652e-01
5.410821643286573002e-01,5.385190632906649011e-01
5.511022044088176308e-01,5.471905543532512572e-01
5.611222444889779615e-01,5.551215930985791136e-01
5.711422845691382921e-01,5.623538519134769764e-01
5.811623246492986228e-01,5.689347200042857988e-01
5.911823647294588424e-01,5.749163272775698053e-01
6.012024048096191731e-01,5.803545053011234245e-01
6.112224448897795037e-01,5.853076987654951546e-01
6.212424849699398344e-01,5.898358432373780325e-01
6.312625250501001650e-01,5.939992275106423802e-01
6.412825651302604957e-01,5.978573613435218537e-01
6.513026052104208263e-01,6.014678716060870567e-01
6.613226452905811570e-01,6.048854516076833665e-01
6.713426853707414876e-01,6.081608893784222758e-01
6.813627254509018183e-01,6.113402007070268818e-01
6.913827655310621489e-01,6.144638915974192095e-01
7.014028056112223686e-01,6.175663723762525592e-01
7.114228456913826992e-01,6.206755419330993728e-01
7.214428857715430299e-01,6.238125555803470945e-01
7.314629258517033605e-01,6.269917839664467252e-01
7.414829659318636912e-01,6.302209636485731625e-01
7.515030060120240218e-01,6.335015326910811151e-01
7.615230460921843525e-01,6.368291374120768067e-01
7.715430861723446831e-01,6.401942895690571067e-01
7.815631262525050138e-01,6.435831472454751623e-01
7.915831663326653445e-01,6.469783878040789027e-01
8.016032064128255641e-01,6.503601377593506427e-01
8.116232464929858947e-01,6.537069224467819684e-01
8.216432865731462254e-01,6.569965979936851497e-01
8.316633266533065560e-01,6.602072293019649596e-01
8.416833667334668867e-01,6.633178804437457332e-01
8.517034068136272174e-01,6.663092878975769295e-01
8.617234468937875480e-01,6.691643922296051095e-01
8.717434869739478787e-01,6.718687099391396078e-01
8.817635270541082093e-01,6.744105340140501559e-01
8.917835671342685400e-01,6.767809590396682839e-01
9.018036072144288706e-01,6.789737342264601239e-01
9.118236472945890903e-01,6.809849552069007217e-01
9.218436873747494209e-01,6.828126126294791209e-01
9.318637274549097516e-01,6.844560221665365596e-01
9.418837675350700822e-01,6.859151662670509575e-01
9.519038076152304129e-01,6.871899825459447664e-01
9.619238476953907435e-01,6.882796368495693873e-01
9.719438877755510742e-01,6.891818205552616705e-01
9.819639278557114048e-01,6.898921113962628304e-01
9.919839679358717355e-01,6.904034349804950565e-01
1.002004008016031955e+00,6.907056602216076202e-01
1.012024048096192397e+00,6.907853562621211196e-01
1.022044088176352616e+00,6.906257313893213734e-01
1.032064128256513058e+00,6.902067662698847528e-01
1.042084168336673278e+00,6.895055449787028667e-01
1.052104208416833719e+00,6.884967782336315345e-01
1.062124248496993939e+00,6.871535044404977199e-01
1.072144288577154159e+00,6.854479460413915870e-01
1.082164328657314600e+00,6.833524916219706480e-01
1.092184368737474820e+00,6.808407685618609317e-01
1.102204408817635262e+00,6.778887668982810366e-01
1.112224448897795481e+00,6.744759726065008287e-01
1.122244488977955923e+00,6.705864676769723864e-01
1.132264529058116143e+00,6.662099551047208079e-01
1.142284569138276584e+00,6.613426690606208913e-01
1.152304609218436804e+00,6.559881339101640840e-01
1.162324649298597246e+00,6.501577401930926925e-01
1.172344689378757465e+00,6.438711109912436115e-01
1.182364729458917685e+00,6.371562381242380502e-01
1.192384769539078126e+00,6.300493741806481029e-01
1.202404809619238346e+00,6.225946733999051519e-01
1.212424849699398788e+00,6.148435817731137121e-01
1.222444889779559007e+00,6.068539843462011918e-01
1.232464929859719449e+00,5.986891254993993439e-01
1.242484969939879669e+00,5.904163258329058195e-01
1.252505010020040110e+00,5.821055270556396710e-01
1.262525050100200330e+00,5.738277037343820774e-01
1.272545090180360772e+00,5.656531876176060791e-01
1.282565130260520991e+00,5.576499561213172917e-01
1.292585170340681211e+00,5.498819409986240858e-01
1.302605210420841653e+00,5.424074157115765793e-01
1.312625250501001872e+00,5.352775200909215547e-01
1.322645290581162314e+00,5.285349780927323105e-01
1.332665330661322534e+00,5.222130585870002895e-01
1.342685370741482975e+00,5.163348201304897023e-01
1.352705410821643195e+00,5.109126688754848100e-01
1.362725450901803637e+00,5.059482447635506031e-01
1.372745490981963856e+00,5.014326358611532752e-01
1.382765531062124298e+00,4.973469052348954422e-01
1.392785571142284518e+00,4.936629003418039341e-01
1.402805611222444737e+00,4.903443026546325245e-01
1.412825651302605179e+00,4.873478660620192970e-01
1.422845691382765398e+00,4.846247870528042068e-01
1.432865731462925840e+00,4.821221479962374268e-01
1.442885771543086060e+00,4.797843767647148039e-01
1.452905811623246501e+00,4.775546709918513377e-01
1.462925851703406721e+00,4.753763426754931132e-01
1.472945891783567163e+00,4.731940477779179588e-01
1.482965931863727382e+00,4.709548751035799175e-01
1.492985971943887824e+00,4.686092782974707882e-01
1.503006012024048044e+00,4.661118436976081636e-01
1.513026052104208263e+00,4.634218945549557489e-01
1.523046092184368705e+00,4.605039385317762912e-01
1.533066132264528925e+00,4.573279702826540394e-01
1.543086172344689366e+00,4.538696443098299005e-01
1.553106212424849586e+00,4.501103352557371817e-01
1.563126252505010028e+00,4.460371035029807585e-01
1.573146292585170247e+00,4.416425835861459426e-01
1.583166332665330689e+00,4.369248116911323976e-01
1.593186372745490909e+00,4.318870066420991138e-01
1.603206412825651128e+00,4.265373164647094928e-01
1.613226452905811570e+00,4.208885400665127730e-01
1.623246492985971789e+00,4.149578309730667103e-01
1.633266533066132231e+00,4.087663875626640353e-01
1.643286573146292451e+00,4.023391319899232710e-01
1.653306613226452892e+00,3.957043780889054063e-01
1.663326653306613112e+00,3.888934870812963407e-01
1.673346693386773554e+00,3.819405089365203176e-01
1.683366733466933773e+00,3.748818067607223581e-01
1.693386773547094215e+00,3.677556616239238685e-01
1.703406813627254435e+00,3.606018557354962462e-01
1.713426853707414654e+00,3.534612327892758810e-01
1.723446893787575096e+00,3.463752355418544537e-01
1.733466933867735316e+00,3.393854221647534808e-01
1.743486973947895757e+00,3.325329645152652058e-01
1.753507014028055977e+00,3.258581330868659531e-01
1.763527054108216419e+00,3.193997749125450092e-01
